max_samples,cd,hd,iou,elapsed_time
50,3.823315911327104e-06,0.01213258106264716,0.03398058252427184,22.609901905059814
100,8.24277816638329e-07,0.008064295814774303,0.04433497536945813,31.340153455734253
150,7.406069142036721e-07,0.00778542906145042,0.05853658536585366,40.2617244720459
200,6.729637475534061e-07,0.008615370511542358,0.049019607843137254,46.00590658187866
250,7.305056037727555e-07,0.009229575562546721,0.06310679611650485,49.74129390716553
300,7.431843433956484e-07,0.008997646762557116,0.05853658536585366,55.363938331604004
350,7.039128421329011e-07,0.007887780203384478,0.06372549019607843,58.36685657501221
400,7.317348618644475e-07,0.007970877791575105,0.06341463414634146,62.14680552482605
450,7.296362229200086e-07,0.00814190437872989,0.058823529411764705,64.69323110580444
500,7.490089588201774e-07,0.008202816237821575,0.06280193236714976,58.04813575744629
550,6.986711940313475e-07,0.00823976890206809,0.05825242718446602,69.49612236022949
600,7.644450934779337e-07,0.008958101111160185,0.06372549019607843,72.19478964805603
650,7.492803633395743e-07,0.008575581257070837,0.06862745098039216,63.102790117263794
700,7.05839848490492e-07,0.008371544541447184,0.06372549019607843,65.51985812187195
750,7.413590275972271e-07,0.008754325397023293,0.06310679611650485,66.63532662391663
800,8.694467932929214e-07,0.009440989191674963,0.06796116504854369,79.33630657196045
850,8.00803191556864e-07,0.009263643379994416,0.056768558951965066,70.53358936309814
900,7.278525471312154e-07,0.008601340564214214,0.06796116504854369,71.892982006073
950,7.518806088780399e-07,0.008305333104081943,0.06829268292682927,86.09408926963806
1000,7.951141539821458e-07,0.009063245790694468,0.07389162561576355,80.10562825202942
1050,7.483955153673417e-07,0.008405379896498389,0.05853658536585366,90.80235075950623
1100,7.795068474256307e-07,0.009271956205035639,0.06310679611650485,76.96701884269714
1150,8.026897207829607e-07,0.009509403686564407,0.06310679611650485,93.67051100730896
1200,7.932895240802604e-07,0.00902814384371316,0.057692307692307696,92.41817998886108
1250,8.071057454825532e-07,0.009106332421388398,0.07281553398058252,94.08781456947327
1300,7.872575320952822e-07,0.008219323615098287,0.06341463414634146,83.6652729511261
1350,7.612871195663209e-07,0.00861155869027762,0.06310679611650485,84.92135643959045
1400,7.312393648437339e-07,0.00861606074287434,0.06829268292682927,86.8089051246643
1450,7.711905921898535e-07,0.008275156673838071,0.06829268292682927,102.28710174560547
1500,7.84043502120985e-07,0.009465338041896828,0.06310679611650485,101.25283908843994
1550,7.721965327991881e-07,0.00877094137057028,0.06829268292682927,90.46342897415161
1600,8.033827127824073e-07,0.008705994671731256,0.06310679611650485,101.18947148323059
1650,7.708208377087618e-07,0.008885562376255696,0.06796116504854369,116.53607153892517
1700,7.607325927608204e-07,0.008129268281051465,0.07281553398058252,103.48694658279419
1750,7.692425939224911e-07,0.008296762753207357,0.05853658536585366,116.75677967071533
1800,8.380437719270705e-07,0.009285681700943458,0.0825242718446602,105.50848460197449
1850,8.608320501131723e-07,0.009061167158070045,0.06829268292682927,120.65595769882202
1900,7.694270096618101e-07,0.009077592219829352,0.06341463414634146,123.721435546875
1950,7.710502714730773e-07,0.008341560880451892,0.06862745098039216,108.65762615203857
2000,7.886031430100892e-07,0.009297666798702281,0.06493506493506493,110.47060012817383
2050,7.987904759099905e-07,0.00876025976267388,0.06341463414634146,110.05727863311768
2100,8.340440397854318e-07,0.009078338035338177,0.06796116504854369,126.72868275642395
2150,8.072657925870236e-07,0.009152357357910857,0.06796116504854369,128.75281143188477
2200,7.769853272499923e-07,0.00849364861591468,0.07281553398058252,129.07741236686707
2250,8.137121370955537e-07,0.008205431314409688,0.06763285024154589,132.15135979652405
2300,7.687813265233449e-07,0.008874900342506813,0.05365853658536585,130.60139989852905
2350,7.690692754073652e-07,0.008503518670081098,0.06926406926406926,133.34891605377197
2400,7.981288979499122e-07,0.008643413774611622,0.06341463414634146,126.37152576446533
2450,8.108048911781893e-07,0.009414113284039058,0.07281553398058252,129.44258999824524
2500,8.025686489615825e-07,0.008842800373628855,0.07317073170731707,124.29427003860474
2550,8.722897834736265e-07,0.009050009262683623,0.07766990291262135,122.89030528068542
2600,7.978388967811332e-07,0.009398984449762908,0.06796116504854369,130.08421421051025
2650,8.060890397368949e-07,0.009260861528576086,0.06310679611650485,132.1411235332489
2700,7.86747744550633e-07,0.008443149746989127,0.06060606060606061,127.39141535758972
2750,8.224575580118534e-07,0.009231400839398387,0.07281553398058252,130.59691047668457
2800,7.933860687729777e-07,0.009098235170949317,0.06763285024154589,136.02973628044128
2850,8.14226909253599e-07,0.009428619957287169,0.07246376811594203,131.4024155139923
2900,7.764497066342222e-07,0.008964977926195009,0.06796116504854369,149.4458043575287
2950,8.069335782160966e-07,0.0094654406616008,0.06829268292682927,128.94359874725342
